City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
469,Lasa,IT,40.62,few clouds,46.6166,10.7002,Pension Feldgärtenhof
470,Bridlington,GB,48.38,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
471,Burnie,AU,59.94,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
473,Hernani,ES,48.61,clear sky,43.2662,-1.9762,Ibiltze
474,Manaus,BR,86.49,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
475,Vila Do Maio,CV,83.19,clear sky,15.1333,-23.2167,Hotel Marilu
476,Wilmington,US,48.85,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
479,Shimoda,JP,34.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
481,Beyneu,KZ,34.65,overcast clouds,45.3167,55.2,NUR
482,Puerto El Triunfo,SV,94.06,clear sky,13.2833,-88.55,Hotel Jardin
483,Jackson,US,31.15,clear sky,42.4165,-122.8345,Agate Village Apartments
484,Villa Bruzual,VE,95.36,clear sky,9.3328,-69.1208,hotel italia
485,Prince Rupert,CA,42.89,broken clouds,54.3161,-130.3201,Crest Hotel
486,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
487,Buluang,PH,71.06,broken clouds,13.3068,123.3425,Enon Beach Resort
488,Kiunga,PG,72.1,light rain,-6.1219,141.2906,Airport Lodge Kiunga
489,Great Yarmouth,GB,49.41,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
490,Gainesville,US,58.68,clear sky,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
491,Ruteng,ID,62.8,overcast clouds,-8.6136,120.4721,Hotel FX 72
493,Ixtapa,MX,74.43,broken clouds,20.7,-105.2,Hotel Plaza Providencia
495,Cananea,MX,38.75,clear sky,30.95,-110.3,Casas Montoya
496,San Bernardo,CL,88.18,clear sky,-33.6,-70.7167,Jose antonio gajardo meza
497,San Quintin,MX,62.01,clear sky,30.4833,-115.95,Don Eddie's Landing
499,Natal,BR,88.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
500,Itamaraju,BR,85.21,broken clouds,-17.0392,-39.5311,Hotel Vista Bela
501,Coihaique,CL,70.41,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
502,Labuhan,ID,78.51,overcast clouds,-6.8844,112.2051,DoubleFAG
503,Quzhou,CN,37.56,scattered clouds,28.9594,118.8686,Quzhou Jiujiu Business Hotel
504,Naze,JP,50.56,broken clouds,28.3667,129.4833,Shishime Hotel
507,Puqi,CN,40.26,broken clouds,29.7167,113.8833,Ramada Plaza Chibi
509,Mitchell,US,36.1,clear sky,43.7094,-98.0298,Kelly Inn & Suites
510,Keti Bandar,PK,70.99,clear sky,24.1447,67.4497,Haji laloo memon house
511,Kapaa,US,64.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
513,Manjacaze,MZ,73.78,light rain,-24.7117,33.8828,Hotel Gani
515,Labuan,MY,80.96,light rain,5.2767,115.2417,Tiara Labuan Hotel
516,Vestmannaeyjar,IS,31.19,clear sky,63.4427,-20.2734,Glamping & Camping
517,Tucuman,AR,82.4,scattered clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
519,San Carlos De Bariloche,AR,73.24,few clouds,-41.1456,-71.3082,Hotel Patagonia
520,La Roda,ES,53.33,overcast clouds,39.2167,-2.15,Hotel-Restaurante El Sueño de Jemik
521,Roebourne,AU,84.4,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
522,Butaritari,KI,82.38,few clouds,3.0707,172.7902,Isles Sunset Lodge
523,Nelson Bay,AU,71.01,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
524,Iranshahr,IR,66.54,clear sky,27.2025,60.6848,نیک سرشت
526,Misratah,LY,62.26,broken clouds,32.3754,15.0925,Almasa Hotel
527,Pocone,BR,90.46,broken clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
529,Hambantota,LK,76.17,clear sky,6.1241,81.1185,Bungalow 63
531,Sao Borja,BR,95.22,overcast clouds,-28.6606,-56.0044,Hotel Executivo
532,Sorland,NO,38.3,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
533,Macas,EC,82.15,few clouds,-2.3167,-78.1167,Casa Upano
534,Gorlev,DK,40.44,overcast clouds,55.5393,11.2271,Solholm Camping
535,Vizovice,CZ,39.69,overcast clouds,49.2229,17.8545,VIÑAS
